VendorID,total_trip_distance,total_fare_amount,avg_distance_fare,Rank
6,45929.08000000012,207687.05000000756,0.22114561307504943,1
1,2217373.3999999673,9758962.909999484,0.22721404112807356,2
5,536.7999999999998,1884.97,0.28477906810187953,3
2,1.0974248939999895E7,2.1930708379994668E7,0.5004055842542083,4
